Model,Accuracy,Precision,Recall,F1-Score,Training Time (s),Inference Time (s),ROC-AUC
LSTM,0.54316,0.6661533723437019,0.17304,0.27471899409411316,8.449279069900513,0.593010663986206,0.5972803423999999
CNN,0.86748,0.8564444789322573,0.88296,0.8695001378658368,11.790067672729492,0.8571145534515381,0.941411152
BERT (DistilBERT),0.90364,0.8685806121703558,0.9512,0.9080148153805032,844.7931797504425,109.42236638069153,0.9703893664000001
